datetime,open,high,low,close,volume
2025-08-04,6461.0,6691.0,6410.0,6607.0,1156700
2025-08-05,6666.0,6739.0,6615.0,6700.0,653200
2025-08-06,6740.0,6846.0,6710.0,6830.0,814700
2025-08-07,6850.0,6895.0,6761.0,6846.0,778000
2025-08-08,6807.0,6862.0,6616.0,6693.0,974200
2025-08-12,6961.0,7672.0,6959.0,7556.0,2196600
2025-08-13,7632.0,7882.0,7530.0,7850.0,1247400
2025-08-14,7722.0,7926.0,7676.0,7686.0,905300
2025-08-15,7701.0,8483.0,7686.0,8461.0,1996100
2025-08-18,8450.0,9117.0,8364.0,9037.0,2254000
2025-08-19,8900.0,9280.0,8822.0,9141.0,2380700
2025-08-20,8500.0,8760.0,8391.0,8570.0,2914200
2025-08-21,8921.0,9650.0,8911.0,9230.0,6215500
2025-08-22,9247.0,9537.0,9075.0,9310.0,3148300
2025-08-25,9760.0,9876.0,9569.0,9848.0,2216400
2025-08-26,9806.0,9955.0,9628.0,9803.0,2010500
2025-08-27,9874.0,10400.0,9756.0,10120.0,3569900
2025-08-28,10045.0,10620.0,9975.0,10400.0,2506100
2025-08-29,10520.0,10675.0,10280.0,10525.0,2392300
2025-09-01,10400.0,10500.0,10135.0,10215.0,2231800
2025-09-02,10365.0,10875.0,10140.0,10705.0,3092800
2025-09-03,10685.0,10945.0,10580.0,10725.0,2345100
2025-09-04,10800.0,11055.0,10550.0,10670.0,2442000
2025-09-05,10770.0,10855.0,10360.0,10550.0,2187800
2025-09-08,10700.0,10725.0,10455.0,10675.0,1818100
2025-09-09,10710.0,10740.0,9961.0,9961.0,2983100
2025-09-10,9950.0,10400.0,9936.0,10300.0,2306500
2025-09-11,10370.0,10990.0,10300.0,10800.0,2548500
2025-09-12,10940.0,10950.0,10325.0,10325.0,1790300
2025-09-16,10490.0,10710.0,10160.0,10705.0,1656600
2025-09-17,10560.0,10650.0,10075.0,10205.0,1548000
2025-09-18,10470.0,10885.0,10295.0,10810.0,1648700
2025-09-19,11000.0,11340.0,10590.0,10810.0,2574800
2025-09-22,10900.0,10900.0,10535.0,10630.0,1159500
2025-09-24,10830.0,11005.0,10695.0,11005.0,1159100
2025-09-25,11300.0,11915.0,11045.0,11805.0,2707500
2025-09-26,11655.0,11690.0,11330.0,11520.0,1927500
2025-09-29,11690.0,11765.0,11420.0,11585.0,989200
2025-09-30,11720.0,11730.0,11335.0,11505.0,985100
2025-10-01,11345.0,11645.0,11165.0,11630.0,1093300
2025-10-02,11915.0,12440.0,11860.0,12350.0,2050000
2025-10-03,12440.0,13290.0,12265.0,13180.0,2680400
2025-10-06,13575.0,13660.0,13010.0,13215.0,1701500
2025-10-07,13900.0,14255.0,13030.0,13070.0,2616800
2025-10-08,12770.0,13740.0,12740.0,13685.0,1971600
2025-10-09,14140.0,14280.0,13805.0,14060.0,1663100
2025-10-10,14050.0,14085.0,13615.0,13660.0,1172900
2025-10-14,13665.0,14290.0,13195.0,13195.0,2515400
2025-10-15,13300.0,13710.0,13300.0,13615.0,1288700
2025-10-16,13750.0,13910.0,13560.0,13680.0,1042500
2025-10-17,13455.0,14095.0,13375.0,13675.0,1311100
2025-10-20,13955.0,14205.0,13505.0,14205.0,1534600
2025-10-21,14125.0,14290.0,13675.0,13715.0,1403700
2025-10-22,13415.0,13845.0,13030.0,13735.0,1721100
2025-10-23,13370.0,13830.0,13370.0,13605.0,975000
2025-10-24,13905.0,14135.0,13650.0,14080.0,1656700
2025-10-27,14680.0,14915.0,14240.0,14850.0,1481400
2025-10-28,14700.0,14730.0,14275.0,14365.0,1225200
