股票,類別,資料起始日,資料結束日,樣本數N,跌破80%次數,跌破80%比例,跌破75%次數,跌破75%比例,跌破70%次數,跌破70%比例,到期仍低於80%次數,到期仍低於80%比例
NVDA,AI／GPU,2021-08-24,2026-09-21,1211,336,27.7,239,19.7,152,12.6,122,10.1
AMD,半導體,2021-08-24,2026-09-21,1211,460,38.0,306,25.3,170,14.0,185,15.3
TSM,半導體,2021-08-24,2026-09-21,1211,235,19.4,132,10.9,63,5.2,86,7.1
INTC,半導體,2021-08-24,2026-09-21,1211,336,27.7,240,19.8,159,13.1,211,17.4
MU,記憶體,2021-08-24,2026-09-21,1211,331,27.3,234,19.3,131,10.8,97,8.0
GOOGL,大型科技,2021-08-24,2026-09-21,1211,136,11.2,54,4.5,10,0.8,33,2.7
META,大型科技,2021-08-24,2026-09-21,1211,340,28.1,200,16.5,155,12.8,142,11.7
AAPL,大型科技,2021-08-24,2026-09-21,1211,102,8.4,50,4.1,11,0.9,9,0.7
MSFT,大型科技,2021-08-24,2026-09-21,1211,103,8.5,20,1.7,0,0.0,31,2.6
TSLA,電動車,2021-08-24,2026-09-21,1211,596,49.2,409,33.8,266,22.0,228,18.8
UNH,醫療,2021-08-24,2026-09-21,1211,174,14.4,97,8.0,63,5.2,89,7.3
DELL,AI伺服器,2021-08-24,2026-09-21,1211,318,26.3,239,19.7,136,11.2,123,10.2
ARM,半導體IP,2023-09-14,2026-09-21,694,262,37.8,218,31.4,174,25.1,89,12.8
