關聯欄位,公司名稱,股票代號,原始星等,corr_20d,corr_60d,corr_120d,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
台灣高關聯股,穎崴,6515.TW,4,0.40204695458106876,0.6948630789459947,0.5047380580339312,258,0.539,0.3042108356292281,樣本充足（>200，具統計意義）,0.291
台灣高關聯股,旺矽,6223.TW,4,0.44740502131839527,0.6841742344301363,0.46983689028103626,256,0.516,0.8249715743566124,樣本充足（>200，具統計意義）,0.251
全球上游_供應,M31,6643.TW,4,0.45293251579422555,0.5289981390954654,0.4791622482211833,256,0.512,0.7476525192873866,樣本充足（>200，具統計意義）,0.251
全球競爭_同業,,AVGO,5,0.20927610155714027,0.15061167742069312,0.16811917642785693,257,0.619,0.00024405863046753117,樣本充足（>200，具統計意義）,0.243
全球合作_需求端,台積電,2330.TW,5,0.3334858987370033,0.4821515465809513,0.4544704893566084,244,0.508,1.0,樣本充足（>200，具統計意義）,0.235
全球上游_供應,力旺,3529.TW,4,0.1692453530748031,0.4550024890045161,0.3809272758432634,254,0.531,0.341094446695119,樣本充足（>200，具統計意義）,0.222
台灣高關聯股,精測,6510.TW,4,0.21305591629471918,0.4999905769925753,0.4312982398023752,253,0.474,0.4969060503720033,樣本充足（>200，具統計意義）,0.216
台灣高關聯股,京元電,2449.TW,4,0.4817537363238627,0.6178731827061905,0.41820181207095924,255,0.506,1.0,樣本充足（>200，具統計意義）,0.215
全球合作_需求端,,AMZN,0,-0.05892717993569287,0.24996504112462126,0.15389996756447083,257,0.584,0.01074477813085621,樣本充足（>200，具統計意義）,0.193
全球合作_需求端,台積電,TSM,5,0.3217889384425025,0.16618498863996842,0.16339060825839727,257,0.576,0.02505040818410478,樣本充足（>200，具統計意義）,0.189
全球上游_供應,,ARM,4,0.23864629413699465,0.2783632507697546,0.28333579449548263,257,0.541,0.23654664627415883,樣本充足（>200，具統計意義）,0.183
全球上游_供應,,CDNS,4,-0.19657602834917276,0.12589601146552235,0.212309541082965,257,0.537,0.2635892618369159,樣本充足（>200，具統計意義）,0.143
全球合作_需求端,,GOOGL,0,-0.27219259389350486,0.08096698343795372,0.045884957259969134,257,0.568,0.041869998467304236,樣本充足（>200，具統計意義）,0.109
全球上游_供應,,SNPS,4,-0.2559084003516668,0.12595943592335723,0.16914232151674308,257,0.521,0.5258685335726223,樣本充足（>200，具統計意義）,0.106
全球合作_需求端,,META,0,0.45018634070814717,0.2317954335607021,0.0826066475684894,257,0.56,0.07175681897832989,樣本充足（>200，具統計意義）,0.102
全球合作_需求端,,MSFT,0,-0.09776491154552669,0.08967477277206888,0.10837769383441938,257,0.545,0.18785051734520447,樣本充足（>200，具統計意義）,0.099
全球競爭_同業,,MRVL,5,0.1542746984106025,0.1749413920357329,0.04356933075320771,256,0.566,0.050932944917218705,樣本充足（>200，具統計意義）,0.088
