關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球上游_供應,,SNPS,4,0.5104066153175831,0.07399061301360498,0.30410614296164845,0.30930432724243356,51.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",7.4,30.4,30.9,弱同向連動,266,0.579,0.01685405729122363,樣本充足（>200，具統計意義）,0.28
全球上游_供應,M31,6643.TW,4,0.5777282884039434,0.3411795598274822,0.387789861121512,0.49182955735335715,57.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",34.1,38.8,49.2,中度同向連動,265,0.509,0.905498602658641,樣本充足（>200，具統計意義）,0.255
台灣高關聯股,京元電,2449.TW,4,0.5099542198176252,0.29463898518568027,0.5906872965757791,0.5090679650439011,51.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",29.5,59.1,50.9,中度同向連動,263,0.494,1.0,樣本充足（>200，具統計意義）,0.255
全球合作_需求端,台積電,TSM,5,0.33092687934491216,0.16091240549518307,0.35934381592683157,0.20813435879798145,33.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",16.1,35.9,20.8,弱同向連動,266,0.598,0.001437430598339562,樣本充足（>200，具統計意義）,0.242
全球競爭_同業,,MRVL,5,0.3399079726776264,0.08150657990614243,0.20425764508559374,0.09428653673743238,34.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",8.2,20.4,9.4,幾乎無關聯,265,0.615,0.0001853575202097325,樣本充足（>200，具統計意義）,0.195
全球合作_需求端,台積電,2330.TW,5,0.38799076600819554,-0.050513016763104095,0.5516137892199465,0.3616864234324258,38.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-5.1,55.2,36.2,弱同向連動,253,0.514,0.6959824211479282,樣本充足（>200，具統計意義）,0.195
全球上游_供應,,CDNS,4,0.5361918838078517,0.1261409691241879,0.2755458210694706,0.27295617760927054,53.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",12.6,27.6,27.3,弱同向連動,266,0.556,0.09190357623287466,樣本充足（>200，具統計意義）,0.193
全球合作_需求端,,AMZN,0,0.2613683301095449,0.18435118121244218,0.3373217992066824,0.16720222634596765,26.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",18.4,33.7,16.7,弱同向連動,266,0.575,0.01994596214438364,樣本充足（>200，具統計意義）,0.191
全球上游_供應,,ARM,4,0.24954807965552944,0.11952066364116683,0.2618425069032105,0.15388474917213288,25.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",12.0,26.2,15.4,弱同向連動,266,0.571,0.024349384695784126,樣本充足（>200，具統計意義）,0.178
台灣高關聯股,穎崴,6515.TW,4,0.15827784041851428,-0.06446258944552921,0.4328417362669935,0.24314321807317812,15.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-6.4,43.3,24.3,弱同向連動,268,0.53,0.32168676799937934,樣本充足（>200，具統計意義）,0.151
全球上游_供應,力旺,3529.TW,4,0.46887752391585286,-0.05145867648298716,0.2904944588228487,0.22307169030521534,46.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-5.1,29.0,22.3,弱同向連動,264,0.534,0.3506584142233844,樣本充足（>200，具統計意義）,0.146
全球競爭_同業,,AVGO,5,0.2475958810939067,0.1931973465439083,0.24831987714088366,0.22325943437605267,24.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",19.3,24.8,22.3,弱同向連動,266,0.534,0.3071336597619011,樣本充足（>200，具統計意義）,0.145
台灣高關聯股,旺矽,6223.TW,4,0.4691772105139552,-0.19132871871740018,0.3585304836219073,0.28862626660710605,46.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-19.1,35.9,28.9,弱同向連動,266,0.485,0.8383145048407942,樣本充足（>200，具統計意義）,0.144
台灣高關聯股,精測,6510.TW,4,0.3805255491763405,0.13188653592938002,0.4074817094538622,0.1660759207009036,38.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",13.2,40.7,16.6,弱同向連動,262,0.519,0.6420180866123499,樣本充足（>200，具統計意義）,0.102
全球合作_需求端,,GOOGL,0,-0.06307884736141137,-0.05584354532540402,0.3011109273463437,0.09435787825051983,-6.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-5.6,30.1,9.4,幾乎無關聯,266,0.549,0.13018279582452758,樣本充足（>200，具統計意義）,0.096
全球合作_需求端,,META,0,-0.11775064903714515,-0.06245986262159721,0.2009243632815622,0.08495369623368688,-11.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-6.2,20.1,8.5,幾乎無關聯,266,0.541,0.20504153490531596,樣本充足（>200，具統計意義）,0.084
全球合作_需求端,,MSFT,0,-0.043893032455860036,-0.17114339883455013,-0.0017979556888940353,-0.02172234558494405,-4.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-17.1,-0.2,-2.2,幾乎無關聯,266,0.5,1.0,樣本充足（>200，具統計意義）,0.011
