關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球合作_需求端,台積電,TSM,5,0.6456779648054374,0.6727613759510468,0.6708007851125466,0.6183558337488276,64.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",67.3,67.1,61.8,中度同向連動,287,0.502,1.0,樣本充足（>200，具統計意義）,0.311
全球競爭_同業,,MRVL,5,0.7556902690715119,0.7027922224677636,0.7358870652305025,0.5849419265847674,75.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",70.3,73.6,58.5,中度同向連動,286,0.507,0.951597897551923,樣本充足（>200，具統計意義）,0.299
全球競爭_同業,,AVGO,5,0.6567363159723087,0.5101029180933968,0.5941745297057014,0.5263348636994447,65.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",51.0,59.4,52.6,中度同向連動,287,0.47,0.3665420962854534,樣本充足（>200，具統計意義）,0.263
全球上游_供應,,CDNS,4,0.31595594784094183,0.284006166576203,0.32393368307633186,0.4279487694431874,31.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",28.4,32.4,42.8,中度同向連動,287,0.453,0.1422693596428755,樣本充足（>200，具統計意義）,0.214
全球上游_供應,,SNPS,4,0.4561785634050798,0.29938876047715074,0.3713560341050037,0.32955811560264126,45.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",29.9,37.1,33.0,弱同向連動,287,0.439,0.053215266377359675,樣本充足（>200，具統計意義）,0.165
全球上游_供應,M31,6643.TW,4,0.023801033849297264,0.10680636459825223,0.20596519802503768,0.22343556150130017,2.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",10.7,20.6,22.3,弱同向連動,266,0.515,0.6875519335578565,樣本充足（>200，具統計意義）,0.127
台灣高關聯股,精測,6510.TW,4,0.31541426159620717,0.12987303450134205,0.2800815796455366,0.21544800085169755,31.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",13.0,28.0,21.5,弱同向連動,263,0.479,0.5971611751981978,樣本充足（>200，具統計意義）,0.108
台灣高關聯股,京元電,2449.TW,4,0.3020633327448702,-0.027310043971837217,0.2420934650086273,0.1722076429745959,30.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-2.7,24.2,17.2,弱同向連動,264,0.515,0.7301031000119165,樣本充足（>200，具統計意義）,0.101
全球上游_供應,力旺,3529.TW,4,0.023275374136509788,0.08691467151884001,0.29328801777249514,0.17148010499060096,2.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",8.7,29.3,17.1,弱同向連動,265,0.487,0.7759446621316312,樣本充足（>200，具統計意義）,0.086
全球合作_需求端,,AMZN,0,0.531474681855238,0.1935712026614536,0.014999988609664679,0.13461279998258527,53.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",19.4,1.5,13.5,弱同向連動,287,0.463,0.257837149792018,樣本充足（>200，具統計意義）,0.067
全球合作_需求端,,MSFT,0,0.2366001345483007,0.0784606834673895,0.13992953195109883,0.13118764902136684,23.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",7.8,14.0,13.1,弱同向連動,287,0.481,0.5963436258447721,樣本充足（>200，具統計意義）,0.066
台灣高關聯股,穎崴,6515.TW,4,-0.4633516573654165,-0.3507735140214156,0.09113798114834462,0.1085942690925619,-46.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-35.1,9.1,10.9,弱同向連動,268,0.507,0.9351376025511224,樣本充足（>200，具統計意義）,0.062
全球合作_需求端,,GOOGL,0,0.061912792446152665,-0.0029316936426818092,-0.04174152132943903,0.12208846445631859,6.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-0.3,-4.2,12.2,弱同向連動,287,0.46,0.2100101857120827,樣本充足（>200，具統計意義）,0.061
全球合作_需求端,,META,0,0.4485469983835109,0.38028640606991465,0.1873114872778886,0.11925188295462713,44.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",38.0,18.7,11.9,弱同向連動,287,0.474,0.43483813101704816,樣本充足（>200，具統計意義）,0.06
全球合作_需求端,台積電,2330.TW,5,0.4466732043472726,0.323896695742842,0.06998636002992276,0.08326230240376456,44.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",32.4,7.0,8.3,幾乎無關聯,252,0.508,0.9566936947134589,樣本充足（>200，具統計意義）,0.05
台灣高關聯股,旺矽,6223.TW,4,-0.08596372871365549,-0.006067191241357909,0.24068924660996077,0.08773803004664969,-8.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-0.6,24.1,8.8,幾乎無關聯,267,0.491,0.8195177416951418,樣本充足（>200，具統計意義）,0.044
