關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球合作_需求端,,AMZN,0,0.7714017065609561,0.7774980365333132,0.7007597973526559,0.6286492819402238,77.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",77.7,70.1,62.9,中度同向連動,286,0.517,0.641350191899875,樣本充足（>200，具統計意義）,0.332
全球合作_需求端,,META,0,0.2608210915659868,0.15986112169204936,0.35080826355919675,0.2669664899898598,26.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",16.0,35.1,26.7,弱同向連動,286,0.469,0.3401024808990179,樣本充足（>200，具統計意義）,0.133
全球合作_需求端,台積電,TSM,5,0.20070794629474778,0.07809076996100166,0.04204648790874311,0.21682061667346172,20.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",7.8,4.2,21.7,弱同向連動,286,0.514,0.7407504298950311,樣本充足（>200，具統計意義）,0.122
全球競爭_同業,,AVGO,5,0.24886618007028624,0.06989072149162015,0.1455512268096138,0.15318750476904341,24.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",7.0,14.6,15.3,弱同向連動,286,0.538,0.24152105470670057,樣本充足（>200，具統計意義）,0.115
台灣高關聯股,京元電,2449.TW,4,0.17168733756486568,0.16474685906232436,0.19881866602415474,0.19307748549047773,17.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",16.5,19.9,19.3,弱同向連動,263,0.517,0.6684283424833062,樣本充足（>200，具統計意義）,0.114
全球合作_需求端,,MSFT,0,0.47845468631189114,0.5138309154249175,0.3065158343853033,0.1682463815187009,47.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",51.4,30.7,16.8,弱同向連動,286,0.51,0.8110556090619901,樣本充足（>200，具統計意義）,0.095
全球上游_供應,,CDNS,4,-0.17920242740611222,0.010328797276960544,0.19123690664508491,0.1386640653860197,-17.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",1.0,19.1,13.9,弱同向連動,286,0.517,0.6307264775132773,樣本充足（>200，具統計意義）,0.087
台灣高關聯股,穎崴,6515.TW,4,-0.44131035842704835,-0.23721714272283634,0.07123682897486593,0.15066525268184675,-44.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-23.7,7.1,15.1,弱同向連動,267,0.487,0.7383317115145831,樣本充足（>200，具統計意義）,0.075
全球上游_供應,M31,6643.TW,4,0.19811643070460633,0.07407087901845393,0.19039100282826768,0.11420372099409025,19.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",7.4,19.0,11.4,弱同向連動,265,0.517,0.6464521585908298,樣本充足（>200，具統計意義）,0.074
全球上游_供應,,SNPS,4,-0.03822326140490011,0.001570667602122612,0.18681470169031072,0.11161219072688121,-3.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",0.2,18.7,11.2,弱同向連動,286,0.517,0.6270671241620134,樣本充足（>200，具統計意義）,0.073
全球上游_供應,,ARM,4,0.1445461193719062,0.05352691963654265,-0.021283051629079622,0.1312866850565713,14.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",5.4,-2.1,13.1,弱同向連動,286,0.486,0.7113222100676078,樣本充足（>200，具統計意義）,0.066
全球合作_需求端,台積電,2330.TW,5,-0.5055018235520545,-0.28472015718015165,0.10518730006598384,0.08072354989019667,-50.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-28.5,10.5,8.1,幾乎無關聯,251,0.482,0.6113957252603084,樣本充足（>200，具統計意義）,0.04
台灣高關聯股,旺矽,6223.TW,4,-0.2634271911323803,-0.09270816981009006,0.0022240766602903955,0.06921583570581813,-26.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-9.3,0.2,6.9,幾乎無關聯,266,0.504,1.0,樣本充足（>200，具統計意義）,0.038
全球競爭_同業,,MRVL,5,0.07208683909788129,-0.16965176076090083,-0.016856812763103888,0.037431907055363145,7.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-17.0,-1.7,3.7,幾乎無關聯,285,0.519,0.6215657858732182,樣本充足（>200，具統計意義）,0.038
全球上游_供應,力旺,3529.TW,4,-0.46703809172837996,-0.3384988990706237,-0.008863601510424018,0.039630584377085866,-46.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-33.8,-0.9,4.0,幾乎無關聯,264,0.508,0.8841667611912966,樣本充足（>200，具統計意義）,0.027
台灣高關聯股,精測,6510.TW,4,0.09465440366883514,-0.07150046754145338,0.16045527892340944,0.04427241337718561,9.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-7.2,16.0,4.4,幾乎無關聯,262,0.504,0.9879480676614202,樣本充足（>200，具統計意義）,0.026
