關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球合作_需求端,,AMZN,0,0.3660924506263747,0.24574328074936014,0.2637876022250905,0.38758336369563234,36.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",24.6,26.4,38.8,弱同向連動,286,0.51,0.8187268924811122,樣本充足（>200，具統計意義）,0.204
全球合作_需求端,台積電,2330.TW,5,-0.11215869625983688,-0.20621172741984517,0.1595147058787741,0.23737223628376553,-11.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-20.6,16.0,23.7,弱同向連動,251,0.53,0.4467410775076339,樣本充足（>200，具統計意義）,0.149
全球合作_需求端,,GOOGL,0,0.2608210915659868,0.15986112169204936,0.35080826355919675,0.2669664899898598,26.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",16.0,35.1,26.7,弱同向連動,286,0.486,0.7151601935498668,樣本充足（>200，具統計意義）,0.133
全球上游_供應,,CDNS,4,0.4259582684784435,0.18718471705122366,0.25512944984374775,0.16776915392161873,42.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",18.7,25.5,16.8,弱同向連動,286,0.538,0.23381383788847687,樣本充足（>200，具統計意義）,0.122
全球上游_供應,M31,6643.TW,4,0.21683069931267135,0.0878620804711724,0.13593236750254284,0.10521107849023065,21.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",8.8,13.6,10.5,弱同向連動,265,0.562,0.05279872799624339,樣本充足（>200，具統計意義）,0.115
全球上游_供應,力旺,3529.TW,4,-0.16861659345104807,-0.24311373654592708,-0.048167573591554276,0.03716930045462396,-16.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-24.3,-4.8,3.7,幾乎無關聯,264,0.576,0.017443664362889626,樣本充足（>200，具統計意義）,0.113
全球上游_供應,,SNPS,4,0.3369375093693121,0.04005605379757518,0.2593033164070802,0.18715421812425276,33.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",4.0,25.9,18.7,弱同向連動,286,0.51,0.8032546167120878,樣本充足（>200，具統計意義）,0.104
台灣高關聯股,旺矽,6223.TW,4,-0.36278262903796527,-0.3998489935110948,0.138563996234488,0.18754121785662906,-36.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-40.0,13.9,18.8,弱同向連動,266,0.496,0.9327193347849638,樣本充足（>200，具統計意義）,0.094
全球上游_供應,,ARM,4,0.6965331991707179,0.5126053732279684,0.22256767493786755,0.14118313521458126,69.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",51.3,22.3,14.1,弱同向連動,286,0.521,0.5638980629215302,樣本充足（>200，具統計意義）,0.092
全球合作_需求端,,MSFT,0,0.523436618619309,0.3138596312682557,-0.01314263055183793,0.1533307873721171,52.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",31.4,-1.3,15.3,弱同向連動,286,0.497,1.0,樣本充足（>200，具統計意義）,0.077
全球競爭_同業,,MRVL,5,0.35660945533097044,0.30959247148717634,0.026634764402473424,0.03435633402115955,35.7,"樣本僅10天,樣本<30,僅供觀察,不影響權重",31.0,2.7,3.4,幾乎無關聯,285,0.544,0.18043312035870268,樣本充足（>200，具統計意義）,0.061
台灣高關聯股,精測,6510.TW,4,-0.3482939514590674,-0.33060607414397647,0.15426709576515932,0.1071991822046773,-34.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-33.1,15.4,10.7,弱同向連動,262,0.504,0.9819124097372599,樣本充足（>200，具統計意義）,0.057
全球合作_需求端,台積電,TSM,5,0.29328041163524055,0.07735299760540784,-0.10564689993777276,0.09813168278413242,29.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",7.7,-10.6,9.8,幾乎無關聯,286,0.5,1.0,樣本充足（>200，具統計意義）,0.049
台灣高關聯股,京元電,2449.TW,4,-0.09635949539195277,-0.08600449926830829,0.12069284378296129,0.08258784209595228,-9.6,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-8.6,12.1,8.3,幾乎無關聯,263,0.49,0.8143575454562323,樣本充足（>200，具統計意義）,0.041
台灣高關聯股,穎崴,6515.TW,4,-0.8604694526872221,-0.6700594078427831,-0.010479419225940208,0.06015852235681651,-86.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-67.0,-1.0,6.0,幾乎無關聯,267,0.498,1.0,樣本充足（>200，具統計意義）,0.03
全球競爭_同業,,AVGO,5,0.04388700836095026,-0.17928515364224223,-0.013290311181061361,0.050426571037686455,4.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-17.9,-1.3,5.0,幾乎無關聯,286,0.503,1.0,樣本充足（>200，具統計意義）,0.029
