關聯欄位,公司名稱,股票代號,原始星等,corr_10d,corr_20d,corr_60d,corr_120d,corr_10d_x100,corr_10d_註記,corr_20d_x100,corr_60d_x100,corr_120d_x100,corr_120d_標籤,lag_n,lag_win_rate,lag_chi2_pvalue,樣本可信度,composite_weight
全球合作_需求端,,AMZN,0,0.5613992842721383,0.5359169246214021,0.4641453063450209,0.41552009013412233,56.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",53.6,46.4,41.6,中度同向連動,285,0.505,0.9492709900918336,樣本充足（>200，具統計意義）,0.213
全球上游_供應,,CDNS,4,-0.07048086591167188,0.3557560507244819,0.18672609755288297,0.2877010183375535,-7.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",35.6,18.7,28.8,弱同向連動,285,0.544,0.17429784610603105,樣本充足（>200，具統計意義）,0.188
全球上游_供應,,SNPS,4,-0.05318483600568414,0.31396542120836163,0.18108886917234007,0.16636185935574474,-5.3,"樣本僅10天,樣本<30,僅供觀察,不影響權重",31.4,18.1,16.6,弱同向連動,285,0.537,0.26292679138440767,樣本充足（>200，具統計意義）,0.12
全球合作_需求端,,META,0,0.4201567128786365,0.31926777664882183,-0.019207537531973327,0.15244334551085328,42.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",31.9,-1.9,15.2,弱同向連動,285,0.54,0.211759014935134,樣本充足（>200，具統計意義）,0.117
全球合作_需求端,台積電,TSM,5,-0.0008375381422403993,-0.12091169783790325,0.18932115036353184,0.12182305230636895,-0.1,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-12.1,18.9,12.2,弱同向連動,285,0.533,0.3071747037183389,樣本充足（>200，具統計意義）,0.094
全球上游_供應,,ARM,4,0.19418201657165335,0.06240965214100079,0.12789374284647767,0.1253713385832574,19.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",6.2,12.8,12.5,弱同向連動,285,0.526,0.4368433573399657,樣本充足（>200，具統計意義）,0.089
全球上游_供應,M31,6643.TW,4,0.3035773848792724,0.0802717701871354,0.14886389988292667,0.10429901133297931,30.4,"樣本僅10天,樣本<30,僅供觀察,不影響權重",8.0,14.9,10.4,弱同向連動,264,0.534,0.33188907471204276,樣本充足（>200，具統計意義）,0.086
全球合作_需求端,,GOOGL,0,0.7246868018640974,0.6232638488121872,0.2761736680152509,0.16791408429687846,72.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",62.3,27.6,16.8,弱同向連動,285,0.481,0.5976418203612621,樣本充足（>200，具統計意義）,0.084
全球合作_需求端,台積電,2330.TW,5,-0.09796990184996998,-0.04678766335338738,0.08968516501449994,0.07800133790492816,-9.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-4.7,9.0,7.8,幾乎無關聯,251,0.542,0.23978351967070477,樣本充足（>200，具統計意義）,0.081
全球上游_供應,力旺,3529.TW,4,0.017854487142276693,-0.02096074596445832,0.2701547192016714,0.15856770189796493,1.8,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-2.1,27.0,15.9,弱同向連動,263,0.498,1.0,樣本充足（>200，具統計意義）,0.079
全球競爭_同業,,MRVL,5,-0.22174076017261737,-0.2693794546325181,0.075331495136287,-0.07963831234104078,-22.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-26.9,7.5,-8.0,幾乎無關聯,284,0.539,0.228442816485812,樣本充足（>200，具統計意義）,0.079
全球競爭_同業,,AVGO,5,-0.17873969072907706,-0.1762086838280332,0.1087443953396763,0.09510716432465693,-17.9,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-17.6,10.9,9.5,幾乎無關聯,285,0.509,0.8544700344989073,樣本充足（>200，具統計意義）,0.056
台灣高關聯股,京元電,2449.TW,4,-0.1724340085558347,-0.010708988218738892,0.014535573170238562,-0.033411717520207454,-17.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-1.1,1.5,-3.3,幾乎無關聯,262,0.519,0.6143064370346605,樣本充足（>200，具統計意義）,0.036
台灣高關聯股,旺矽,6223.TW,4,-0.15517726849370245,-0.4266189396032079,0.10545488235992403,-0.022817738870767795,-15.5,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-42.7,10.5,-2.3,幾乎無關聯,265,0.521,0.5826828897809222,樣本充足（>200，具統計意義）,0.032
台灣高關聯股,精測,6510.TW,4,-0.3119065690428045,-0.44546693318093217,-0.015980599409889468,0.04137926097317956,-31.2,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-44.5,-1.6,4.1,幾乎無關聯,261,0.51,0.8475654667004632,樣本充足（>200，具統計意義）,0.03
台灣高關聯股,穎崴,6515.TW,4,-0.4298829083446926,-0.359220234658994,0.05027287422472069,-0.001021916800837993,-43.0,"樣本僅10天,樣本<30,僅供觀察,不影響權重",-35.9,5.0,-0.1,幾乎無關聯,266,0.455,0.1763735255902712,樣本充足（>200，具統計意義）,0.001
