日期,目標股,趨勢延續分數,信心,主要貢獻1
2026-09-07,3661.TW,0.4,納入 17 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,穎崴
2026-09-07,3443.TW,0.415,納入 17 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,力旺
2026-09-07,2449.TW,0.836,納入 9 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,台積電
2026-09-07,8299.TW,1.0,納入 8 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,創見
2026-09-07,6669.TW,-0.127,納入 10 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,晟銘電
2026-09-07,2421.TW,0.538,納入 6 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,台達電
2026-09-07,3374.TW,0.754,納入 9 檔關聯股；其中天數樣本最少的一檔為 232 天（樣本充足（>200，具統計意義））,南亞科
2026-09-07,1815.TW,1.0,納入 5 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,建榮
2026-09-07,3003.TW,0.347,納入 6 檔關聯股；其中天數樣本最少的一檔為 235 天（樣本充足（>200，具統計意義））,台達電
2026-09-07,4931.TW,0.487,納入 6 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,
2026-09-07,2377.TW,-0.209,納入 10 檔關聯股；其中天數樣本最少的一檔為 230 天（樣本充足（>200，具統計意義））,鴻海
2026-09-07,4908.TW,-0.117,納入 2 檔關聯股；其中天數樣本最少的一檔為 249 天（樣本充足（>200，具統計意義））,建準
2026-09-07,8103.TW,-0.001,納入 5 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,台達電
2026-09-07,5284.TW,0.404,納入 9 檔關聯股；其中天數樣本最少的一檔為 235 天（樣本充足（>200，具統計意義））,建準
2026-09-07,6830.TW,1.0,納入 3 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,日月光
2026-09-07,7711.TW,0.48,納入 6 檔關聯股；其中天數樣本最少的一檔為 177 天（樣本尚可（100–200，具參考意義））,華擎
2026-09-07,3234.TW,0.036,納入 5 檔關聯股；其中天數樣本最少的一檔為 248 天（樣本充足（>200，具統計意義））,華星光
2026-09-07,6291.TW,-0.378,納入 5 檔關聯股；其中天數樣本最少的一檔為 252 天（樣本充足（>200，具統計意義））,上詮
2026-09-07,2408.TW,0.424,納入 3 檔關聯股；其中天數樣本最少的一檔為 248 天（樣本充足（>200，具統計意義））,DuPont
