日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1
2026-09-08,3661.TW,0.446,44.6,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,穎崴
2026-09-08,3443.TW,0.417,41.7,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,力旺
2026-09-08,3035.TW,0.374,37.4,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,M31
2026-09-08,8227.TW,0.384,38.4,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,M31
2026-09-08,7707.TW,0.43,43.0,中度偏多延續,納入 16 檔關聯股；其中天數樣本最少的一檔為 235 天（樣本充足（>200，具統計意義））,力旺
2026-09-08,7796.TW,0.447,44.7,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 234 天（樣本充足（>200，具統計意義））,M31
2026-09-08,2454.TW,0.337,33.7,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 230 天（樣本充足（>200，具統計意義））,台積電
2026-09-08,2379.TW,0.339,33.9,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 235 天（樣本充足（>200，具統計意義））,
2026-09-08,3034.TW,0.324,32.4,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,台積電
2026-09-08,8054.TW,0.376,37.6,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 236 天（樣本充足（>200，具統計意義））,穎崴
2026-09-08,6695.TW,0.297,29.7,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,
2026-09-08,2388.TW,0.347,34.7,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,
2026-09-08,2363.TW,0.343,34.3,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,M31
2026-09-08,3041.TW,0.413,41.3,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,M31
2026-09-08,8299.TW,0.682,68.2,中度偏多延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,創見
2026-09-08,2337.TW,1.0,100.0,強烈偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 251 天（樣本充足（>200，具統計意義））,Infineon
2026-09-08,2344.TW,1.0,100.0,強烈偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 253 天（樣本充足（>200，具統計意義））,兆易創新
2026-09-08,6239.TW,0.884,88.4,強烈偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 100 天（樣本尚可（100–200，具參考意義））,華邦電
2026-09-08,2329.TW,0.875,87.5,強烈偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 102 天（樣本尚可（100–200，具參考意義））,南亞科
2026-09-08,8110.TW,0.884,88.4,強烈偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 100 天（樣本尚可（100–200，具參考意義））,華邦電
2026-09-08,8150.TW,0.883,88.3,強烈偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 103 天（樣本尚可（100–200，具參考意義））,南亞科
2026-09-08,6147.TW,-0.274,-27.4,弱偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,瑞鼎
2026-09-08,2449.TW,0.724,72.4,強烈偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 249 天（樣本充足（>200，具統計意義））,世芯
2026-09-08,6257.TW,0.708,70.8,強烈偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 247 天（樣本充足（>200，具統計意義））,旺矽
2026-09-08,3264.TW,0.687,68.7,中度偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 253 天（樣本充足（>200，具統計意義））,世芯
2026-09-08,6223.TW,0.764,76.4,強烈偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,MJC
2026-09-08,6510.TW,0.779,77.9,強烈偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,雍智
2026-09-08,6515.TW,0.805,80.5,強烈偏多延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,
2026-09-08,6488.TW,0.148,14.8,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,Siltronic
2026-09-08,5483.TW,0.162,16.2,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 232 天（樣本充足（>200，具統計意義））,SUMCO
2026-09-08,3037.TW,0.075,7.5,方向不明/觀望,納入 7 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,Ibiden
2026-09-08,8046.TW,0.178,17.8,弱偏多延續,納入 7 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,AT&S
2026-09-08,3189.TW,0.058,5.8,方向不明/觀望,納入 7 檔關聯股；其中天數樣本最少的一檔為 234 天（樣本充足（>200，具統計意義））,AT&S
2026-09-08,1815.TW,-0.197,-19.7,弱偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,建榮
2026-09-08,1802.TW,-0.248,-24.8,弱偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,建榮
2026-09-08,5475.TW,-0.125,-12.5,弱偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,建榮
2026-09-08,1446.TW,-0.292,-29.2,弱偏空延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 219 天（樣本充足（>200，具統計意義））,台燿
2026-09-08,8358.TW,-0.223,-22.3,弱偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,台燿
2026-09-08,1303.TW,-0.208,-20.8,弱偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,三井金屬
2026-09-08,4989.TW,-0.333,-33.3,弱偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,台燿
2026-09-08,2383.TW,0.519,51.9,中度偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 250 天（樣本充足（>200，具統計意義））,金像電
2026-09-08,6274.TW,0.607,60.7,中度偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 251 天（樣本充足（>200，具統計意義））,金像電
2026-09-08,6213.TW,0.669,66.9,中度偏多延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 252 天（樣本充足（>200，具統計意義））,富喬
2026-09-08,2368.TW,0.276,27.6,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,台燿
2026-09-08,3044.TW,0.278,27.8,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,台燿
2026-09-08,2313.TW,0.208,20.8,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,台燿
2026-09-08,2327.TW,-0.681,-68.1,中度偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 226 天（樣本充足（>200，具統計意義））,凱美
2026-09-08,2492.TW,-0.752,-75.2,強烈偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 229 天（樣本充足（>200，具統計意義））,凱美
