日期,目標股,趨勢延續分數,趨勢延續分數_100,趨勢延續標籤,信心,主要貢獻1,收盤價,5日均線,20日均線,均線排列,均線濾網,均線濾網註記
2026-09-11,3661.TW,0.079,7.9,方向不明/觀望,納入 17 檔關聯股；其中天數樣本最少的一檔為 248 天（樣本充足（>200，具統計意義））,穎崴,3650.0,3896.0,3932.5,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3443.TW,0.047,4.7,方向不明/觀望,納入 17 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,力旺,6120.0,5992.0,5823.25,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3035.TW,0.006,0.6,方向不明/觀望,納入 17 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,M31,169.5,176.0,176.18,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,8227.TW,0.192,19.2,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,M31,239.0,199.7,167.7,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,7707.TW,-0.055,-5.5,方向不明/觀望,納入 17 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,力旺,114.0,117.6,108.55,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,7796.TW,-0.11,-11.0,弱偏空延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 237 天（樣本充足（>200，具統計意義））,M31,72.3,72.06,63.93,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2454.TW,0.212,21.2,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 233 天（樣本充足（>200，具統計意義））,,4585.0,4656.0,4155.75,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2379.TW,0.492,49.2,中度偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 238 天（樣本充足（>200，具統計意義））,,704.0,707.2,718.8,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3034.TW,0.319,31.9,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,台積電,547.0,539.8,536.85,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,8054.TW,-0.099,-9.9,方向不明/觀望,納入 17 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,穎崴,80.0,82.76,82.04,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6695.TW,0.196,19.6,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 247 天（樣本充足（>200，具統計意義））,,46.5,47.38,48.25,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2388.TW,0.357,35.7,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,,75.2,77.0,74.93,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2363.TW,0.132,13.2,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 247 天（樣本充足（>200，具統計意義））,M31,50.7,52.46,51.44,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3041.TW,0.121,12.1,弱偏多延續,納入 17 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,京元電,22.5,22.73,22.75,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,8299.TW,-0.114,-11.4,弱偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,創見,1990.0,2071.0,2074.75,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2337.TW,0.329,32.9,弱偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 253 天（樣本充足（>200，具統計意義））,Infineon,119.0,124.0,123.53,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2344.TW,0.285,28.5,弱偏多延續,納入 3 檔關聯股；其中天數樣本最少的一檔為 255 天（樣本充足（>200，具統計意義））,兆易創新,171.5,180.4,178.55,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6239.TW,-0.3,-30.0,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 104 天（樣本尚可（100–200，具參考意義））,華邦電,273.0,280.1,276.3,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2329.TW,-0.349,-34.9,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 106 天（樣本尚可（100–200，具參考意義））,南亞科,41.6,42.63,43.19,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,8110.TW,-0.257,-25.7,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 104 天（樣本尚可（100–200，具參考意義））,華邦電,42.15,43.3,44.56,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,8150.TW,-0.351,-35.1,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 107 天（樣本尚可（100–200，具參考意義））,南亞科,86.7,90.22,89.62,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6147.TW,-0.234,-23.4,弱偏空延續,納入 8 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,瑞鼎,181.0,192.2,178.45,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,2449.TW,0.304,30.4,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 251 天（樣本充足（>200，具統計意義））,世芯,263.0,269.5,255.18,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6257.TW,0.299,29.9,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 250 天（樣本充足（>200，具統計意義））,旺矽,211.5,214.0,208.25,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3264.TW,0.176,17.6,弱偏多延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 256 天（樣本充足（>200，具統計意義））,世芯,230.5,232.6,222.65,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6223.TW,-0.203,-20.3,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,MJC,5620.0,5637.0,5399.0,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6510.TW,-0.164,-16.4,弱偏空延續,納入 10 檔關聯股；其中天數樣本最少的一檔為 239 天（樣本充足（>200，具統計意義））,雍智,3480.0,3569.0,3051.75,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6515.TW,0.068,6.8,方向不明/觀望,納入 10 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,,6890.0,7191.0,6656.5,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,6488.TW,-0.211,-21.1,弱偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 241 天（樣本充足（>200，具統計意義））,Siltronic,902.0,940.6,967.5,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,5483.TW,-0.235,-23.5,弱偏空延續,納入 9 檔關聯股；其中天數樣本最少的一檔為 234 天（樣本充足（>200，具統計意義））,SUMCO,176.0,180.2,181.07,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3037.TW,0.089,8.9,方向不明/觀望,納入 7 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,Ibiden,977.0,971.8,1043.35,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,8046.TW,0.186,18.6,弱偏多延續,納入 7 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,AT&S,1080.0,1071.0,1160.25,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,3189.TW,0.069,6.9,方向不明/觀望,納入 7 檔關聯股；其中天數樣本最少的一檔為 236 天（樣本充足（>200，具統計意義））,AT&S,822.0,813.8,840.35,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,1815.TW,0.377,37.7,弱偏多延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 244 天（樣本充足（>200，具統計意義））,建榮,127.5,129.7,117.94,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,1802.TW,0.311,31.1,弱偏多延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 242 天（樣本充足（>200，具統計意義））,建榮,58.2,59.7,59.07,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,5475.TW,0.508,50.8,中度偏多延續,納入 4 檔關聯股；其中天數樣本最少的一檔為 243 天（樣本充足（>200，具統計意義））,建榮,175.0,188.2,185.2,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,1446.TW,0.427,42.7,中度偏多延續,納入 5 檔關聯股；其中天數樣本最少的一檔為 219 天（樣本充足（>200，具統計意義））,台燿,13.3,13.35,13.54,空頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,8358.TW,-0.262,-26.2,弱偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 245 天（樣本充足（>200，具統計意義））,台燿,485.0,514.2,476.9,多頭排列,,非強烈訊號，不套用均線濾網
2026-09-11,1303.TW,-0.377,-37.7,弱偏空延續,納入 6 檔關聯股；其中天數樣本最少的一檔為 240 天（樣本充足（>200，具統計意義））,三井金屬,234.5,234.1,216.05,多頭排列,,非強烈訊號，不套用均線濾網
