date,open,high,low,close,volume
2025-08-11,24156.509765625,24536.109375,24138.7890625,24359.30078125,143646900
2025-08-18,24313.8203125,24444.41015625,24179.91015625,24363.08984375,212878800
2025-08-25,24232.01953125,24377.380859375,23881.98046875,23902.2109375,241990400
2025-09-01,24012.0390625,24046.849609375,23482.669921875,23596.98046875,227976300
2025-09-08,23771.859375,23883.580078125,23563.369140625,23698.150390625,233738900
2025-09-15,23785.259765625,23855.349609375,23284.669921875,23639.41015625,409620200
2025-09-22,23567.490234375,23756.0390625,23383.83984375,23739.470703125,256417300
2025-09-29,23835.609375,24524.109375,23666.810546875,24378.80078125,232751600
2025-10-06,24357.58984375,24771.33984375,24241.4609375,24241.4609375,233014000
2025-10-13,24372.900390625,24448.76953125,23684.369140625,23830.990234375,240182800
2025-10-20,24035.189453125,24384.240234375,24026.58984375,24239.890625,241465900
2025-10-27,24332.849609375,24348.58984375,23922.94921875,23958.30078125,245710900
2025-11-03,23990.33984375,24248.669921875,23452.890625,23569.9609375,266159700
2025-11-10,23925.359375,24441.279296875,23609.060546875,23876.55078125,300054900
2025-11-17,23890.48046875,23928.48046875,22943.060546875,23091.869140625,276827200
2025-11-24,23280.3203125,23883.98046875,23139.26953125,23836.7890625,293245800
2025-12-01,23731.2890625,24130.919921875,23433.48046875,24028.140625,251572700
2025-12-08,24015.970703125,24474.619140625,23985.279296875,24186.490234375,240729800
2025-12-15,24297.640625,24318.30078125,23923.970703125,24288.400390625,335837500
2025-12-22,24291.849609375,24362.009765625,24203.369140625,24340.060546875,60552200
2025-12-29,24370.939453125,24676.7890625,24253.73046875,24539.33984375,107340300
2026-01-05,24681.349609375,25281.1796875,24639.6796875,25261.640625,281671400
2026-01-12,25248.369140625,25507.7890625,25198.529296875,25297.130859375,284446300
2026-01-19,24940.470703125,25070.609375,24349.5390625,24900.7109375,302223100
2026-01-26,24890.30078125,25020.220703125,24266.330078125,24538.810546875,304701500
2026-02-02,24392.08984375,25098.7109375,24272.619140625,24721.4609375,350922800
2026-02-09,24860.669921875,25239.009765625,24714.890625,24914.880859375,359465000
2026-02-16,24988.609375,25331.060546875,24734.0390625,25260.689453125,299274400
2026-02-23,25114.390625,25405.970703125,24878.099609375,25284.259765625,319895800
2026-03-02,24695.439453125,24897.609375,23342.880859375,23591.029296875,423730300
2026-03-09,22998.939453125,24061.150390625,22927.55078125,23447.2890625,348530500
2026-03-16,23480.5,23957.099609375,22369.470703125,22380.189453125,483735600
2026-03-23,21947.8203125,23178.69921875,21863.810546875,22300.75,340169200
2026-03-30,22213.859375,23377.650390625,22209.44921875,23168.080078125,263178000
2026-04-06,23181.650390625,24163.91015625,22842.140625,23803.94921875,270880400
2026-04-13,23562.189453125,24792.4609375,23482.009765625,24702.240234375,328624000
2026-04-20,24385.0390625,24606.83984375,23991.779296875,24128.98046875,293207000
2026-04-27,24196.4296875,24382.3203125,23715.7109375,24292.380859375,249355700
2026-05-04,24274.5,25152.509765625,23974.740234375,24338.630859375,361734100
2026-05-11,24333.310546875,24492.94921875,23917.630859375,23950.5703125,307263800
2026-05-18,23833.109375,24943.75,23797.330078125,24888.560546875,289576800
2026-05-25,25181.26953125,25438.41015625,24973.25,25104.69921875,356096200
2026-06-01,25083.240234375,25362.830078125,24756.470703125,24759.05078125,298357600
2026-06-08,24447.3203125,24820.94921875,24043.51953125,24635.30078125,290915700
2026-06-15,25068.369140625,25173.01953125,24763.529296875,24985.8203125,443504100
2026-06-22,25035.9296875,25176.2109375,24547.69921875,24671.220703125,321993900
2026-06-29,24724.33984375,25826.779296875,24556.779296875,25779.310546875,313264200
2026-07-06,25811.900390625,25900.099609375,24830.169921875,25067.08984375,259846600
2026-07-13,24963.80078125,25204.6796875,24651.33984375,24830.98046875,244802700
2026-07-20,24769.150390625,25271.33984375,24696.58984375,25099.0,249336700
2026-07-27,25459.3203125,25891.509765625,25303.109375,25629.240234375,295077400
2026-08-03,25855.119140625,26445.1796875,25855.119140625,26319.44921875,305106600
2026-08-10,26360.439453125,26573.5,26245.5703125,26440.310546875,226057300
2026-08-17,26490.30078125,26493.5,25914.109375,26136.560546875,212478900
2026-08-24,26091.2890625,26618.740234375,26038.0703125,26569.990234375,220424400
2026-08-31,26464.140625,26471.7890625,25727.9296875,26046.400390625,276447100
2026-09-07,26039.5390625,26069.990234375,25361.150390625,25568.560546875,226756300
2026-09-14,25498.740234375,25548.779296875,25172.890625,25402.279296875,104865800
