date,open,high,low,close,volume
2026-06-18,7440.5,7514.5,7436.25,7508.43017578125,1671842
2026-06-22,7543.25,7599.25,7513.0,7541.25,1582505
2026-06-23,7541.25,7549.5,7415.25,7437.5,1816290
2026-06-24,7449.25,7496.5,7404.25,7428.25,1864716
2026-06-25,7476.25,7496.0,7390.5,7423.25,1670252
2026-06-26,7431.0,7459.5,7357.25,7401.75,1514235
2026-06-29,7398.0,7505.0,7398.0,7500.25,1520958
2026-06-30,7495.5,7567.75,7481.75,7548.25,1347483
2026-07-01,7543.25,7579.0,7505.75,7543.5,1331380
2026-07-02,7536.0,7593.75,7479.5,7528.25,1766963
2026-07-06,7562.25,7602.5,7538.25,7591.5,1165299
2026-07-07,7597.0,7601.25,7529.5,7551.25,1259499
2026-07-08,7545.0,7563.0,7468.5,7528.75,1503496
2026-07-09,7517.25,7595.0,7516.25,7588.75,1080972
2026-07-10,7587.25,7628.75,7552.75,7620.25,1076448
2026-07-13,7607.0,7615.25,7547.25,7563.0,1272313
2026-07-14,7557.0,7613.75,7531.5,7591.25,1138130
2026-07-15,7589.75,7626.25,7571.75,7614.75,1313380
2026-07-16,7615.0,7632.0,7548.25,7577.75,1323663
2026-07-17,7572.75,7575.0,7473.0,7497.75,1710680
2026-07-20,7485.0,7552.0,7476.75,7484.25,1388418
2026-07-21,7484.0,7554.0,7473.0,7545.75,1038606
2026-07-22,7545.0,7563.5,7504.0,7540.25,1056769
2026-07-23,7530.25,7549.5,7411.75,7445.0,1650704
2026-07-24,7450.5,7496.5,7431.5,7447.5,1450023
2026-07-27,7490.0,7524.75,7416.25,7448.25,1468720
2026-07-28,7453.0,7485.75,7417.0,7465.25,1389750
2026-07-29,7464.0,7501.0,7324.0,7351.25,2067427
2026-07-30,7338.0,7498.0,7331.0,7472.5,1739568
2026-07-31,7479.5,7541.0,7427.5,7519.25,1831952
2026-08-03,7550.0,7637.75,7542.75,7628.25,1457022
2026-08-04,7631.0,7786.0,7629.0,7765.5,1724914
2026-08-05,7772.0,7820.25,7745.75,7749.5,1500673
2026-08-06,7756.75,7770.75,7724.25,7734.75,1253438
2026-08-07,7735.0,7786.75,7725.5,7779.75,1236073
2026-08-10,7776.75,7798.0,7763.0,7776.75,923190
2026-08-11,7778.25,7796.0,7738.0,7747.5,1010336
2026-08-12,7756.0,7794.0,7748.5,7770.5,944743
2026-08-13,7770.0,7838.5,7764.25,7822.5,1106913
2026-08-14,7825.0,7831.75,7796.5,7805.0,917625
2026-08-17,7809.25,7824.5,7763.5,7768.75,992564
2026-08-18,7766.0,7770.5,7710.25,7714.0,1277258
2026-08-19,7714.0,7764.75,7698.25,7729.0,1437865
2026-08-20,7733.0,7746.5,7657.75,7662.5,1468662
2026-08-21,7669.0,7714.0,7661.25,7691.25,1194104
2026-08-24,7693.5,7703.25,7655.0,7669.75,1088482
2026-08-25,7676.0,7714.0,7660.25,7692.0,1003461
2026-08-26,7691.5,7710.25,7670.75,7690.0,1083071
2026-08-27,7722.0,7755.5,7702.75,7742.5,1347688
2026-08-28,7733.75,7782.5,7711.75,7722.0,1520831
2026-08-31,7723.5,7724.0,7674.75,7699.0,1247996
2026-09-01,7701.25,7708.0,7621.5,7642.75,1599408
2026-09-02,7645.0,7691.25,7618.5,7676.5,1312751
2026-09-03,7673.5,7766.5,7661.25,7754.75,1466815
2026-09-04,7749.75,7764.5,7711.75,7722.0,1266711
2026-09-08,7715.5,7728.5,7672.25,7680.5,1541813
2026-09-09,7681.0,7691.25,7628.75,7643.75,1432203
2026-09-10,7646.5,7666.25,7585.5,7598.5,1713441
2026-09-11,7599.5,7683.5,7594.25,7659.5,2084922
2026-09-14,7609.25,7652.0,7593.75,7625.0,2084922
2026-09-15,7699.25,7701.0,7643.5,7663.75,1682303
