date,open,high,low,close,volume
2025-08-18,25216.419921875,25349.080078125,25000.849609375,25339.140625,6220400000
2025-08-25,25606.880859375,25918.859375,24808.779296875,25077.619140625,19646800000
2025-09-01,25508.2109375,25789.990234375,25013.259765625,25417.98046875,18683800000
2025-09-08,25440.009765625,26585.94921875,25387.810546875,26388.16015625,18405900000
2025-09-15,26308.91015625,27058.029296875,26280.23046875,26545.099609375,17721100000
2025-09-22,26459.51953125,26640.529296875,26003.669921875,26128.19921875,16573700000
2025-09-29,26321.5703125,27381.83984375,26321.5703125,27140.919921875,10721300000
2025-10-06,27003.919921875,27145.169921875,26247.0390625,26290.3203125,10683200000
2025-10-13,25634.0,26102.6796875,25145.33984375,25247.099609375,20819200000
2025-10-20,25884.4609375,26367.349609375,25591.66015625,26160.150390625,14493000000
2025-10-27,26495.970703125,26588.890625,25906.650390625,25906.650390625,13718900000
2025-11-03,25999.169921875,26490.7109375,25496.130859375,26241.830078125,13382000000
2025-11-10,26319.400390625,27188.810546875,26302.9296875,26572.4609375,15075000000
2025-11-17,26441.69921875,26531.80078125,25178.630859375,25220.01953125,15859000000
2025-11-24,25452.869140625,26136.26953125,25369.2890625,25858.890625,14593800000
2025-12-01,25945.869140625,26264.130859375,25649.30078125,26085.080078125,12090500000
2025-12-08,26067.859375,26151.4609375,25257.609375,25976.7890625,14083800000
2025-12-15,25718.140625,25824.439453125,25086.5390625,25690.529296875,14164300000
2025-12-22,25795.939453125,25927.66015625,25671.330078125,25818.9296875,5839300000
2025-12-29,25928.890625,26345.630859375,25554.310546875,26338.470703125,9210400000
2026-01-05,26361.439453125,26858.130859375,25960.33984375,26231.7890625,17623400000
2026-01-12,26376.83984375,27206.83984375,26187.759765625,26844.9609375,19080500000
2026-01-19,26641.599609375,26895.939453125,26363.859375,26749.509765625,14306300000
2026-01-26,26844.0390625,28056.099609375,26619.830078125,27387.109375,19863800000
2026-02-02,27097.33984375,27126.48046875,26295.029296875,26559.94921875,17348100000
2026-02-09,26982.490234375,27397.650390625,26444.4609375,26567.119140625,12850300000
2026-02-16,26501.19921875,26734.41015625,26356.9609375,26413.349609375,2503300000
2026-02-23,26798.970703125,27156.279296875,26373.009765625,26630.5390625,13195200000
2026-03-02,26305.580078125,26403.849609375,24958.4296875,25757.2890625,21156400000
2026-03-09,25075.740234375,26149.640625,24906.0,25465.599609375,17796800000
2026-03-16,25436.26953125,26250.140625,25121.4609375,25277.3203125,16610300000
2026-03-23,24789.140625,25390.30078125,24203.5390625,24951.880859375,20942700000
2026-03-30,24532.849609375,25429.759765625,24409.5703125,25116.529296875,15006100000
2026-04-06,25772.560546875,26073.970703125,25653.630859375,25893.5390625,10362200000
2026-04-13,25708.640625,26403.0703125,25508.529296875,26160.330078125,13616300000
2026-04-20,26204.609375,26529.490234375,25639.259765625,25978.0703125,13388900000
2026-04-27,25976.970703125,26132.939453125,25609.609375,25776.529296875,13777900000
2026-05-04,26138.33984375,26669.259765625,25690.359375,26393.7109375,13887600000
2026-05-11,26310.869140625,26844.80078125,25847.150390625,25962.73046875,15366400000
2026-05-18,25838.9609375,25845.4609375,25341.73046875,25606.029296875,15285200000
2026-05-25,25622.359375,25768.380859375,24727.259765625,25182.390625,18803000000
2026-06-01,25180.05078125,26045.0703125,24928.140625,24961.94921875,16986900000
2026-06-08,24582.91015625,24837.98046875,23999.669921875,24718.099609375,18280700000
2026-06-15,25001.419921875,25047.900390625,23749.990234375,23924.810546875,14671700000
2026-06-22,23811.759765625,23863.7109375,22518.0,22671.859375,19659800000
2026-06-29,22827.650390625,23516.69921875,22685.140625,23350.029296875,15491400000
2026-07-06,23404.609375,24499.630859375,23229.380859375,24175.119140625,18544600000
2026-07-13,24157.650390625,25221.439453125,23902.05078125,24562.240234375,16993100000
2026-07-20,24835.029296875,25267.390625,24756.359375,24963.23046875,14439200000
2026-07-27,24993.76953125,25971.630859375,24938.33984375,25884.4296875,16913800000
2026-08-03,25987.310546875,26187.5703125,25389.419921875,25668.029296875,14371300000
2026-08-10,25805.1796875,26060.3203125,25089.140625,25116.849609375,12520600000
2026-08-17,25303.41015625,26009.4609375,25240.619140625,26009.4609375,15497200000
2026-08-24,25780.119140625,25800.220703125,25403.439453125,25584.7890625,14737200000
2026-08-31,25420.630859375,25791.380859375,25008.869140625,25650.869140625,17206300000
2026-09-07,25652.970703125,25664.98046875,24570.240234375,24805.630859375,14148100000
2026-09-14,24701.1796875,24934.060546875,24357.689453125,24750.779296875,12681700000
2026-09-21,24748.44921875,25072.25,24648.2890625,24761.130859375,4570700000
