date,open,high,low,close,volume
2025-08-18,23800.75,23838.0,23035.0,23569.75,2287947
2025-08-25,23602.0,23803.75,23371.5,23461.75,1766056
2025-09-01,23479.0,23902.0,23025.25,23684.0,2466840
2025-09-08,23673.5,24159.0,23650.25,24113.25,2323164
2025-09-15,24115.25,24575.0,24003.75,24568.0703125,1360943
2025-09-22,24850.0,25027.25,24422.5,24726.75,2834722
2025-09-29,24726.5,25196.5,24633.25,24992.0,2447304
2025-10-06,25000.0,25394.0,24158.5,24397.0,2840955
2025-10-13,24542.0,25179.5,24410.0,24986.5,3782909
2025-10-20,25065.75,25570.75,24804.75,25509.25,2568903
2025-10-27,25723.5,26399.0,25700.0,26004.0,2708914
2025-11-03,26028.25,26266.0,24709.25,25166.25,2807190
2025-11-10,25320.75,25830.0,24626.0,25094.0,3407876
2025-11-17,25142.25,25361.25,23904.5,24305.5,4295065
2025-11-24,24455.75,25499.75,24361.75,25482.0,2477560
2025-12-01,25482.5,25868.0,25193.25,25732.0,2638669
2025-12-08,25750.0,25870.75,25118.0,25213.5,2835719
2025-12-15,25223.5,25410.0,24654.5,25132.7890625,1450149
2025-12-22,25635.25,25935.25,25608.25,25863.25,1107190
2025-12-29,25863.25,25893.75,25265.25,25385.25,1531803
2026-01-05,25431.75,25996.25,25406.5,25938.25,2405213
2026-01-12,25949.0,26045.5,25420.75,25689.0,2742936
2026-01-19,25471.0,25845.75,25025.0,25738.25,3204402
2026-01-26,25585.5,26349.0,25365.25,25670.0,2802981
2026-02-02,25530.0,26027.75,24239.75,25163.25,3446086
2026-02-09,25153.75,25465.25,24578.75,24803.25,2858154
2026-02-16,24789.75,25139.5,24449.25,25067.5,3112064
2026-02-23,25033.75,25494.75,24668.0,25004.75,2699220
2026-03-02,24682.5,25250.0,24352.0,24670.25,3279711
2026-03-09,24435.25,25217.5,24000.0,24394.25,2924158
2026-03-16,24285.0,24989.0,24108.75,24291.779296875,1426501
2026-03-23,23902.0,24763.0,23232.5,23328.5,2869860
2026-03-30,23189.5,24348.25,22961.5,24129.75,2513635
2026-04-06,24093.5,25393.0,23941.5,25281.25,2609727
2026-04-13,24980.0,26884.75,24904.5,26825.5,2695865
2026-04-20,26599.75,27462.5,26535.0,27435.0,2815243
2026-04-27,27403.25,27917.0,27009.5,27835.75,2776267
2026-05-04,27890.0,29386.75,27613.0,29332.5,2873562
2026-05-11,29294.0,29782.0,28742.0,29231.75,3211836
2026-05-18,29135.0,29749.0,28663.0,29558.75,3285640
2026-05-25,29676.25,30536.0,29676.25,30405.25,2944568
2026-06-01,30415.5,30807.75,28781.25,29026.5,3461814
2026-06-08,28844.5,29848.25,28227.75,29662.0,3939039
2026-06-15,29907.0,30770.75,29616.0,30647.0,1779235
2026-06-22,30577.0,30968.0,29160.5,29368.25,3294957
2026-06-29,29282.5,30599.75,29273.75,29901.75,2842938
2026-07-06,29930.25,30094.0,28909.75,30032.25,2593000
2026-07-13,29952.0,30062.5,28408.25,28773.25,2634957
2026-07-20,28747.75,29364.75,28212.5,28282.25,2684290
2026-07-27,28500.0,28763.25,27201.5,28404.25,3497081
2026-08-03,28565.0,30074.0,28313.5,29834.75,2848384
2026-08-10,29851.25,30283.0,29533.5,30141.75,2127372
2026-08-17,30170.0,30343.0,29202.75,29387.75,2613153
2026-08-24,29392.25,29811.5,28946.75,29491.75,2634423
2026-08-31,29540.0,29704.5,28927.25,29565.25,2479390
2026-09-07,29535.25,29764.75,29040.5,29387.0,2242906
2026-09-14,28997.75,29665.25,28763.75,29613.6796875,1464211
2026-09-21,29938.0,30997.5,29904.0,30910.0,782066
