date,open,high,low,close,volume
2025-08-18,3716.68505859375,3825.759033203125,3704.990966796875,3825.759033203125,2069500
2025-08-25,3848.1630859375,3888.597900390625,3761.422119140625,3857.927001953125,4006600
2025-09-01,3869.74609375,3885.31396484375,3732.840087890625,3812.513916015625,3492400
2025-09-08,3811.6689453125,3892.738037109375,3791.72412109375,3870.597900390625,3112400
2025-09-15,3876.096923828125,3899.958984375,3800.9951171875,3820.089111328125,3539900
2025-09-22,3822.010009765625,3866.10595703125,3774.528076171875,3828.10595703125,3013600
2025-09-29,3828.166015625,3887.570068359375,3809.534912109375,3882.777099609375,1178200
2025-10-06,3898.306884765625,3936.575927734375,3885.743896484375,3897.028076171875,1444100
2025-10-13,3800.10498046875,3931.050048828125,3800.10498046875,3839.7548828125,3368400
2025-10-20,3865.552001953125,3950.31201171875,3850.366943359375,3950.31201171875,2824900
2025-10-27,3969.219970703125,4025.705078125,3951.73095703125,3954.7900390625,3172000
2025-11-03,3954.077880859375,4012.0048828125,3922.583984375,3997.555908203125,3095600
2025-11-10,4001.7939453125,4034.0791015625,3980.676025390625,3990.491943359375,3037200
2025-11-17,3988.555908203125,3992.404052734375,3834.7490234375,3834.89111328125,2883800
2025-11-24,3848.656005859375,3895.589111328125,3816.575927734375,3888.595947265625,2334800
2025-12-01,3894.212890625,3914.464111328125,3859.049072265625,3902.80810546875,2424200
2025-12-08,3909.22607421875,3936.31103515625,3850.596923828125,3889.345947265625,2668700
2025-12-15,3865.402099609375,3902.6708984375,3815.843994140625,3890.447998046875,2500400
2025-12-22,3900.534912109375,3977.7060546875,3900.514892578125,3963.678955078125,2543800
2025-12-29,3964.65087890625,3983.97900390625,3947.4189453125,3968.840087890625,1580400
2026-01-05,3986.971923828125,4121.72314453125,3983.575927734375,4120.42578125,3378800
2026-01-12,4134.89306640625,4190.8662109375,4091.81103515625,4101.9130859375,4104400
2026-01-19,4090.718994140625,4143.75,4080.2939453125,4136.1640625,3582100
2026-01-26,4144.77783203125,4170.2138671875,4064.777099609375,4117.9482421875,4175600
2026-02-02,4079.7080078125,4104.62109375,4002.781982421875,4065.5830078125,3198400
2026-02-09,4103.5400390625,4142.56103515625,4079.77001953125,4082.072998046875,2628100
2026-02-23,4129.1337890625,4167.84423828125,4105.93701171875,4162.880859375,2624800
2026-03-02,4151.80078125,4197.22802734375,4055.4130859375,4124.19384765625,3884400
2026-03-09,4098.69921875,4141.64892578125,4052.544921875,4095.447998046875,3758700
2026-03-16,4092.2490234375,4108.39990234375,3955.7109375,3957.052978515625,3369000
2026-03-23,3904.950927734375,3937.10400390625,3794.68408203125,3913.72412109375,3350900
2026-03-30,3884.277099609375,3955.943115234375,3871.300048828125,3880.096923828125,2803800
2026-04-06,3884.14990234375,4011.02392578125,3875.68408203125,3986.22509765625,2205700
2026-04-13,3971.197998046875,4058.60400390625,3966.197998046875,4051.425048828125,2780300
2026-04-20,4053.375,4114.84423828125,4051.68505859375,4079.89990234375,3025200
2026-04-27,4074.81103515625,4118.7548828125,4061.822021484375,4112.1591796875,2461600
2026-05-04,4135.451171875,4183.06298828125,4129.9111328125,4179.953125,2083800
2026-05-11,4201.34716796875,4258.86279296875,4114.0849609375,4135.38916015625,3684100
2026-05-18,4120.14013671875,4199.52685546875,4067.7470703125,4112.89892578125,3185700
2026-05-25,4126.3369140625,4153.87890625,4055.826904296875,4068.569091796875,3284000
2026-06-01,4067.157958984375,4107.0458984375,4015.06298828125,4027.736083984375,3270800
2026-06-08,3938.708984375,4060.27099609375,3927.85302734375,4031.512939453125,3146200
2026-06-15,4053.58203125,4117.451171875,4051.06494140625,4090.48095703125,2560800
2026-06-22,4093.955078125,4175.34814453125,4007.85888671875,4027.264892578125,3427800
2026-06-29,4026.68603515625,4143.31298828125,3992.552001953125,4043.64306640625,3188100
2026-07-06,4059.194091796875,4074.827880859375,3938.876953125,3996.162109375,2781700
2026-07-13,3966.02294921875,3983.052978515625,3745.174072265625,3764.155029296875,2932900
2026-07-20,3791.662109375,3884.43505859375,3741.110107421875,3814.197998046875,3128800
2026-07-27,3808.903076171875,3858.31005859375,3767.5029296875,3832.261962890625,2760700
2026-08-03,3812.613037109375,3940.93505859375,3797.64306640625,3940.037109375,2810600
2026-08-10,3943.81591796875,3968.47607421875,3903.705078125,3927.177001953125,2647200
2026-08-17,3930.10400390625,3994.180908203125,3879.5791015625,3905.202880859375,2526700
2026-08-24,3902.696044921875,3970.31005859375,3850.863037109375,3952.178955078125,2468000
2026-08-31,3926.531005859375,3995.175048828125,3915.220947265625,3930.115966796875,2701000
2026-09-07,3942.509033203125,3958.116943359375,3852.031982421875,3888.111083984375,2588700
2026-09-14,3867.02099609375,3919.6689453125,3842.720947265625,3911.87109375,2297500
2026-09-21,3920.27294921875,3950.93896484375,3918.1279296875,3949.906982421875,502400
