week_end,open,high,low,close,volume
2026-06-19,45345.0,46778.0,44926.0,46036.0,203906
2026-06-26,47460.0,49240.0,44264.0,45805.0,673314
2026-07-03,44799.0,47695.0,44135.0,45668.0,623546
2026-07-10,47280.0,47547.0,44575.0,45727.0,387452
2026-07-17,46222.0,46495.0,42527.0,44715.0,470292
2026-07-24,43500.0,45364.0,42173.0,44391.0,464952
2026-07-31,43888.0,44306.0,39442.0,41859.0,556146
2026-08-07,43186.0,44923.0,42086.0,44543.0,522138
2026-08-14,44985.0,46574.0,44362.0,46389.0,339078
2026-08-21,45850.0,46297.0,44208.0,44804.0,323486
2026-08-28,45032.0,46580.0,44146.0,46388.0,294788
2026-09-04,45800.0,47343.0,45415.0,46487.0,343856
2026-09-11,47280.0,47593.0,45780.0,46072.0,284200
2026-09-18,45589.0,47464.0,45302.0,47418.0,221204
2026-09-25,47607.0,48946.0,47496.0,48243.0,63284
