date,open,high,low,close,volume
2025-08-18,45007.0,45841.0,44642.0,45715.0,300527
2025-08-25,45721.0,45801.0,45183.0,45601.0,278190
2025-09-01,45685.0,45832.0,45000.0,45459.0,393317
2025-09-08,45475.0,46176.0,45321.0,45854.0,437256
2025-09-15,45860.0,46379.0,45680.0,46328.0,256092
2025-09-22,46605.0,47055.0,46098.0,46556.0,447430
2025-09-29,46565.0,47323.0,46335.0,47031.0,424891
2025-10-06,47048.0,47162.0,45387.0,45706.0,507821
2025-10-13,45837.0,46915.0,45605.0,46381.0,728761
2025-10-20,46489.0,47508.0,46316.0,47396.0,443848
2025-10-27,47711.0,48214.0,47488.0,47722.0,485911
2025-11-03,47735.0,47869.0,46574.0,47085.0,455794
2025-11-10,47208.0,48528.0,46939.0,47229.0,541117
2025-11-17,47237.0,47368.0,45779.0,46321.0,651448
2025-11-24,46504.0,47796.0,46165.0,47743.0,364680
2025-12-01,47741.0,48184.0,47269.0,48001.0,411040
2025-12-08,48015.0,48917.0,47504.0,48474.0,500895
2025-12-15,48517.0,48745.0,47809.0,48090.0,231190
2025-12-22,48600.0,49086.0,48458.0,48998.0,185496
2025-12-29,48998.0,49052.0,48092.0,48616.0,245826
2026-01-05,48653.0,49876.0,48556.0,49726.0,500756
2026-01-12,49720.0,49901.0,49057.0,49547.0,558554
2026-01-19,49310.0,49795.0,48488.0,49263.0,630085
2026-01-26,49036.0,49644.0,48571.0,49008.0,575041
2026-02-02,48864.0,50263.0,48506.0,50205.0,704432
2026-02-09,50240.0,50611.0,49155.0,49569.0,599525
2026-02-16,49549.0,49967.0,49204.0,49674.0,597348
2026-02-23,49642.0,49872.0,48699.0,49000.0,591891
2026-03-02,48451.0,49121.0,47025.0,47517.0,817441
2026-03-09,47177.0,48266.0,46333.0,46592.0,817200
2026-03-16,46392.0,47457.0,45713.0,45897.0,339296
2026-03-23,45605.0,47210.0,45272.0,45424.0,647533
2026-03-30,45244.0,47090.0,45052.0,46629.0,498990
2026-04-06,46569.0,48555.0,46362.0,48129.0,481079
2026-04-13,47674.0,49924.0,47534.0,49641.0,469630
2026-04-20,49324.0,50043.0,49036.0,49392.0,472150
2026-04-27,49382.0,50138.0,48608.0,49646.0,426968
2026-05-04,49705.0,50238.0,49016.0,49691.0,471189
2026-05-11,49640.0,50292.0,49397.0,49617.0,457208
2026-05-18,49464.0,50920.0,49152.0,50662.0,560809
2026-05-25,50776.0,51209.0,50386.0,51077.0,457241
2026-06-01,51128.0,51849.0,50736.0,50936.0,569160
2026-06-08,50796.0,51443.0,49758.0,51227.0,681687
2026-06-15,51450.0,52300.0,51420.0,51888.0,302180
2026-06-22,51870.0,53097.0,51691.0,52209.0,505279
2026-06-29,52183.0,53400.0,52179.0,53162.0,455480
2026-07-06,53230.0,53656.0,52343.0,52906.0,409402
2026-07-13,52844.0,53113.0,52174.0,52375.0,449859
2026-07-20,52300.0,52721.0,51720.0,52124.0,425500
2026-07-27,52299.0,53105.0,51630.0,52635.0,527823
2026-08-03,52780.0,54884.0,52777.0,54152.0,410019
2026-08-10,54133.0,54336.0,53715.0,53807.0,242178
2026-08-17,53790.0,53840.0,52812.0,53353.0,314813
2026-08-24,53367.0,53862.0,53210.0,53584.0,271527
2026-08-31,53664.0,53827.0,52720.0,53440.0,326091
2026-09-07,53261.0,53336.0,51992.0,52585.0,356300
2026-09-14,52376.0,52672.0,51209.0,51761.0,234640
2026-09-21,52085.0,52557.0,52080.0,52269.0,71688
