編號,目標股代號
1,3661.TW
1,3443.TW
1,3035.TW
1,8227.TW
1,7707.TW
1,7796.TW
1,2454.TW
1,2379.TW
1,3034.TW
1,8054.TW
1,6695.TW
1,2388.TW
1,2363.TW
1,3041.TW
3,8299.TW
4,2337.TW
4,2344.TW
5,6239.TW
5,2329.TW
5,8110.TW
5,8150.TW
6,6147.TW
7,2449.TW
7,6257.TW
7,3264.TW
8,6223.TW
8,6510.TW
8,6515.TW
9,6488.TW
9,5483.TW
10,3037.TW
10,8046.TW
10,3189.TW
11,1815.TW
11,1802.TW
11,5475.TW
11,1446.TW
12,8358.TW
12,1303.TW
12,4989.TW
13,2383.TW
13,6274.TW
13,6213.TW
14,2368.TW
14,3044.TW
14,2313.TW
15,2327.TW
15,2492.TW
15,6173.TW
16,2382.TW
16,6669.TW
16,2376.TW
16,2377.TW
16,2357.TW
17,3324.TW
17,3017.TW
17,3653.TW
18,3081.TW
18,2455.TW
18,4991.TW
18,4971.TW
18,3105.TW
18,8086.TW
18,3363.TW
18,3163.TW
18,4979.TW
18,3450.TW
18,4977.TW
18,6451.TW
18,3711.TW
18,2330.TW
19,3008.TW
19,3362.TW
19,3406.TW
21,4585.TW
22,6415.TW
22,6526.TW
23,3231.TW
24,2615.TW
25,8039.TW
26,2301.TW
27,2464.TW
28,2059.TW
29,6214.TW
30,2395.TW
31,2474.TW
32,8103.TW
33,6531.TW
33,6770.TW
33,2303.TW
34,2421.TW
34,4931.TW
35,6830.TW
36,7711.TW
37,3234.TW
38,6291.TW
39,4908.TW
